node_id,x,y,longitude,latitude,nearest_DAUID,nearest_Population_Density_Demand,nearest_Commute_PT_Demand,nearest_Bus_Stop_Proximity,nearest_Route_Coverage_Percent,nearest_Bus_Stop_Density,nearest_Income_Demand,nearest_Overall_Demand,nearest_Employment_Demand,nearest_Commute_Duration_Demand,nearest_Overall_Accessibility,nearest_demand_dist,nearest_school_dist,schools_within_0.5km,schools_within_1.0km,schools_within_2.0km,nearest_healthcare_dist,healthcare_within_0.5km,healthcare_within_1.0km,healthcare_within_2.0km,nearest_pop_dist,population_within_0.5km,population_within_1.0km,population_within_2.0km,route_connections,bus_stop_density_per_km2,ridership_proxy
N949,-13731393.373864,6180841.91553,-123.35120539999554,48.44281329999752,2021S051259170156,4,4,3,1,1,3,18,2,2,7,0.03650043795177395,0.7824225130834901,0,1,5,0.7218676842835695,0,3,21,0.50957188051684,2900,15675,45386,4,75.43944302555839,57.97027236094648
N950,-13731352.586403,6180610.307663,-123.35083899999935,48.44143310000155,2021S051259170156,4,4,3,1,1,3,18,2,2,7,0.14620645677095387,0.8858462373893439,0,2,6,0.6540898249100217,0,4,29,0.49316707840554186,3700,16290,49480,1,78.30423200121251,48.44764384797398
N951,-13728627.752435,6176035.756251,-123.32636139999794,48.41416469999805,2021S051259170204,1,4,1,3,3,1,12,2,1,10,0.10829714928514327,0.7159663830091745,0,1,2,0.5460332170180038,0,3,14,0.10589909841037029,1865,4735,20803,1,41.061975317709,21.240880308890965
N952,-13733355.480077,6177734.645388,-123.36883129999757,48.4242933000017,2021S051259170811,1,3,5,4,2,5,16,3,3,11,0.09868443911052502,0.8500279130307405,0,1,4,0.10108719593928374,7,18,37,0.46087502277489717,2169,18907,57266,1,91.67324722093171,37.285951220995564
N953,-13729674.255836,6175189.574557,-123.33576229999795,48.40911910000257,2021S051259170272,2,4,1,3,3,1,15,3,2,9,0.281080887991837,1.3256727147060012,0,0,2,0.3930577351516689,3,3,12,0.27151626872975104,1394,5523,20114,1,32.78591827693044,25.30610549759605
N954,-13729598.836881,6175194.840292,-123.33508479999806,48.40915049999936,2021S051259170272,2,4,1,3,3,1,15,3,2,9,0.3302707318960393,1.3054737838101433,0,0,2,0.4107857398841234,3,3,13,0.3208648170800502,1394,5523,20642,1,31.194368846011486,22.83498233751914
N955,-13729621.312286,6175313.286661,-123.33528669999635,48.40985679999917,2021S051259170272,2,4,1,3,3,1,15,3,2,9,0.3152980254530816,1.2365317932785722,0,0,2,0.3352653248578512,3,3,13,0.30739363399679104,1394,6040,23577,1,35.96901713876835,23.567590309996294
N956,-13729604.926057,6175478.624645,-123.33513949999673,48.41084269999804,2021S051259170203,2,4,1,4,3,2,20,3,5,11,0.25792611659438813,1.1304376065555521,0,0,2,0.25705788405298624,3,3,16,0.3507596850423664,1394,6550,24466,1,40.10704565915763,45.87092995995387
N957,-13729733.221771,6175347.83313,-123.33629200000449,48.41006280000055,2021S051259170272,2,4,1,3,3,1,15,3,2,9,0.24634045467135568,1.2436096785738975,0,0,2,0.2810895010616228,3,3,14,0.23946383040968044,1394,6040,25136,4,37.5605665696873,27.168868149822433
N958,-13728392.30058,6176299.744021,-123.32424629999774,48.415738700002926,2021S051259170204,1,4,1,3,3,1,12,2,1,10,0.21301422321158928,0.633267710746817,0,1,2,0.7495703117147159,0,1,16,0.21526953193289106,1286,4735,20184,1,39.470425886790046,15.82268952226236
